YEAR_MONTH,COMPANY_CODE_DESC,CUSTOMER,DIVISION_NAME,SALES,COGS,GROSS_PROFIT,OPERATING_EXPENSE,OPERATING_INCOME,NPAT,EBITDA
2022-03-01,RUNFAST GO,3000021894,Bulk Transportation,43.4,63.1,-19.6,6,-25.7,-27.8,-22.3
2022-03-01,RUNFAST GO,3000021893,Bulk Transportation,39.2,50.4,-11.2,5.4,-16.7,-23.9,-13.8
2022-03-01,RUNFAST GO,3000021892,Bulk Transportation,115.9,141.9,-26,16.1,-42.1,-63.2,-34.1
2022-04-01,RUNFAST GO,3000021894,Bulk Transportation,20.2,44.4,-24.1,5.7,-29.8,-28.5,-27.2
2022-04-01,RUNFAST GO,3000021892,Bulk Transportation,122.5,195.8,-73.3,34.2,-107.5,-98.9,-95.5
2022-04-01,RUNFAST GO,3000021893,Bulk Transportation,3.5,5.7,-2.3,1,-3.2,-1,-2.9
2022-04-01,RUNFAST GO,3000004561,Bulk Transportation,252.5,285.9,-33.4,70.9,-104.3,-120.8,-89.6
2022-01-01,RUNFAST GO,3000021892,Bulk Transportation,134.2,139.7,-5.5,21.8,-27.4,121.5,-20.5
2022-01-01,RUNFAST GO,3000021893,Bulk Transportation,32.9,34.9,-2,5.4,-7.3,29.2,-5.6
2022-01-01,RUNFAST GO,3000021894,Bulk Transportation,2.1,2.4,-0.3,0.3,-0.7,1.5,-0.6
2022-02-01,RUNFAST GO,3000021894,Bulk Transportation,5.4,5.9,-0.5,0.6,-1.2,-0.9,-0.9
2022-02-01,RUNFAST GO,3000021893,Bulk Transportation,109.8,127.8,-18.1,12.4,-30.5,-25.3,-25.3
2022-02-01,RUNFAST GO,3000021892,Bulk Transportation,127,143.2,-16.2,14.4,-30.6,-14.8,-24.6
2022-02-01,RUNFAST GO,3000004561,Bulk Transportation,662.9,836,-173.1,75.2,-248.3,-279.4,-239.9
2022-03-01,RUNFAST GO,3000004561,Bulk Transportation,488.3,698.7,-210.4,68,-278.4,-240.5,-263.3
2022-01-01,RUNFAST GO,3000004561,Bulk Transportation,685.5,870.1,-184.6,80.2,-264.8,-390.5,-248.9
2022-08-01,RUNFAST GO,3000004560,Bulk Transportation,266.4,248.7,17.6,48.1,-30.5,-30.7,-25.5
2022-03-01,RUNFAST GO,3000008984,Bulk Transportation,11.7,10.6,1.1,1.6,-0.6,-0.6,-0.4
2022-08-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,887.7,683.7,204,112.2,91.8,78.7,119.2
2022-07-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1829.8,1699.9,130,163.9,-33.9,-54.5,-5.5
2022-08-01,RUNFAST GO,3000021761,Non Bulk Transport & Rental,696.8,604.3,92.6,94.3,-1.8,-21.1,19.5
2022-08-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1974.4,1845.7,128.7,219.6,-90.9,-109.6,-48.2
2022-08-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,96.5,86.6,9.9,13.1,-3.2,-9.5,6.7
2022-08-01,RUNFAST GO,3000022075,Non Bulk Transport & Rental,27.2,25.1,2.1,3.7,-1.6,-4,2
2022-08-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,241.5,228.8,12.8,32.3,-19.5,-18.5,-10.6
2022-08-01,RUNFAST GO,3000004465,Non Bulk Transport & Rental,102.7,90,12.7,14,-1.3,-3.7,6.8
2022-08-01,RUNFAST GO,3000017758,Non Bulk Transport & Rental,118.3,114.6,3.8,13.7,-9.8,-11.3,-7.1
2022-08-01,RUNFAST GO,3000020764,Non Bulk Transport & Rental,42.8,33.4,9.3,4.7,4.7,2.4,8.4
2022-08-01,RUNFAST GO,3000004898,Non Bulk Transport & Rental,386.3,409.3,-23.1,52.4,-75.5,-121.7,-8.6
2022-08-01,RUNFAST GO,3000019276,Non Bulk Transport & Rental,34.5,27.4,7.1,4.7,2.4,-0.3,6.5
2022-08-01,RUNFAST GO,3000022017,Non Bulk Transport & Rental,148.2,150.9,-2.7,20.1,-22.7,-33.9,-6.3
2022-08-01,RUNFAST GO,3000014429,Non Bulk Transport & Rental,178.4,165.9,12.5,24.5,-12,-21.5,2.6
2022-08-01,RUNFAST GO,3000006126,Non Bulk Transport & Rental,97.3,90.8,6.5,13.2,-6.7,-14.5,3.8
2022-08-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,260.4,189.2,71.2,35.4,35.9,12.9,79.3
2022-08-01,RUNFAST GO,3000002542,Non Bulk Transport & Rental,77.4,79.5,-2.1,10.5,-12.6,-16.6,-7.2
2022-08-01,RUNFAST GO,3000021825,Non Bulk Transport & Rental,9.2,8.8,0.4,1.2,-0.8,-1.8,0.6
2022-08-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,339.7,263.4,76.3,46.1,30.3,22.8,36.6
2022-08-01,RUNFAST GO,3000018166,Non Bulk Transport & Rental,76.4,72.6,3.7,10.4,-6.6,-16.7,8.3
2022-08-01,RUNFAST GO,3000006580,Non Bulk Transport & Rental,38.5,28.2,10.2,5.2,5,3.5,6.8
2022-08-01,RUNFAST GO,3000018742,Non Bulk Transport & Rental,508.3,330,178.3,70.3,108,80.1,143
2022-08-01,RUNFAST GO,3000020314,Non Bulk Transport & Rental,79.8,66.6,13.2,10.8,2.4,0.6,6.1
2022-08-01,RUNFAST GO,3000020798,Non Bulk Transport & Rental,4.7,3.2,1.4,0.6,0.8,0.7,0.9
2022-08-01,RUNFAST GO,3000019518,Non Bulk Transport & Rental,119.9,106.6,13.3,15.3,-2,-7,5.3
2022-08-01,RUNFAST GO,3000005194,Non Bulk Transport & Rental,287.3,303.8,-16.5,39,-55.5,-74,-24.1
2022-08-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,121.6,131.5,-10,14.4,-24.4,-33.6,-8.8
2022-08-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,86.5,81.7,4.9,11.7,-6.8,-10.4,-0.6
2022-08-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,89.8,80.4,9.4,12.1,-2.8,-7.6,10
2022-08-01,RUNFAST GO,3000021173,Non Bulk Transport & Rental,134,128.9,5.1,18.2,-13.1,-20,-3.2
2022-08-01,RUNFAST GO,3000015457,Non Bulk Transport & Rental,11.1,8.4,2.7,1.5,1.2,0,3
2022-08-01,RUNFAST GO,3000004834,Non Bulk Transport & Rental,36.9,38,-1.1,5,-6.1,-8.7,-1.1
2022-08-01,RUNFAST GO,3000022709,Non Bulk Transport & Rental,88.5,54.3,34.1,12,22.1,16.3,29.7
2022-08-01,RUNFAST GO,3000000758,Non Bulk Transport & Rental,6.9,6.9,0,0.9,-0.9,-1.7,0.4
2022-08-01,RUNFAST GO,3000002443,Non Bulk Transport & Rental,60.6,58.4,2.2,7.8,-5.5,-8.5,-1.6
2022-08-01,RUNFAST GO,3000015223,Non Bulk Transport & Rental,9.4,6.8,2.6,1.3,1.3,1.1,2.7
2022-08-01,RUNFAST GO,3000021807,Non Bulk Transport & Rental,14.1,8.9,5.2,1.9,3.3,3,4.3
2022-08-01,RUNFAST GO,3000013813,Non Bulk Transport & Rental,21.2,31.1,-9.9,2.9,-12.8,-18.3,-4.2
2022-08-01,RUNFAST GO,3000005135,Non Bulk Transport & Rental,46.7,28.5,18.2,6.3,11.8,10.1,13.6
2022-08-01,RUNFAST GO,3000007550,Non Bulk Transport & Rental,956.4,598.5,357.9,118.4,239.5,235.9,306.5
2022-08-01,RUNFAST GO,3000012744,Non Bulk Transport & Rental,1.9,0.9,1,0.3,0.7,0.7,0.8
2022-08-01,RUNFAST GO,3000003715,Non Bulk Transport & Rental,12,18.6,-6.6,1.6,-8.3,-11.1,-3.3
2022-08-01,RUNFAST GO,3000018032,Non Bulk Transport & Rental,35,34.6,0.3,4.7,-4.4,-8.9,2.9
2022-08-01,RUNFAST GO,3000007662,Non Bulk Transport & Rental,132.8,100.3,32.5,18,14.5,11.1,18.1
2022-07-01,RUNFAST GO,3000002443,Non Bulk Transport & Rental,115.2,107.4,7.9,14.8,-6.9,-9.7,2.4
2022-07-01,RUNFAST GO,3000020184,Non Bulk Transport & Rental,7.8,7.2,0.6,1.2,-0.6,-0.6,0.5
2022-07-01,RUNFAST GO,3000021173,Non Bulk Transport & Rental,86.5,93.9,-7.4,13,-20.4,-22.9,-12.4
2022-07-01,RUNFAST GO,3000021761,Non Bulk Transport & Rental,675,518.6,156.5,100.8,55.7,20,77.1
2022-07-01,RUNFAST GO,3000007550,Non Bulk Transport & Rental,696.4,545.6,150.8,88.8,62.2,48.3,127.8
2022-07-01,RUNFAST GO,3000022017,Non Bulk Transport & Rental,132.7,140.8,-8.1,19.9,-28,-39.5,-3.7
2022-07-01,RUNFAST GO,3000004465,Non Bulk Transport & Rental,75.4,71.5,3.9,11.1,-7.2,-13.9,0.3
2022-07-01,RUNFAST GO,3000018032,Non Bulk Transport & Rental,63.9,62,1.9,9.6,-7.7,-12.8,0.9
2022-07-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,124.2,131.9,-7.7,18.5,-26.2,-39.8,-15.7
2022-07-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,267.4,241.6,25.9,38,-12.1,-19.3,-6.5
2022-07-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,977.1,776.4,200.5,129.7,70.9,55.4,94.9
2022-07-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,70.6,65.1,5.4,10.6,-5.1,-14.7,5.3
2022-07-01,RUNFAST GO,3000021807,Non Bulk Transport & Rental,26.9,25.4,1.5,4,-2.5,-7.2,4.7
2022-07-01,RUNFAST GO,3000020798,Non Bulk Transport & Rental,0.8,0.5,0.3,0.1,0.2,0.1,0.2
2022-07-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,305.5,309.9,-4.6,38.9,-43.5,-25,-37.2
2022-07-01,RUNFAST GO,3000019518,Non Bulk Transport & Rental,72,63.3,8.6,8.6,0,-2.1,3.3
2022-07-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,263.3,194.7,68.6,39.4,29.2,0.2,65.5
2022-07-01,RUNFAST GO,3000005194,Non Bulk Transport & Rental,288.1,307.9,-19.9,43.1,-62.9,-95.1,-31.6
2022-07-01,RUNFAST GO,3000015457,Non Bulk Transport & Rental,14.6,12.1,2.6,2.2,0.4,-0.9,2.5
2022-07-01,RUNFAST GO,3000007695,Non Bulk Transport & Rental,6.2,4.2,2,0.9,1.1,0.7,1.2
2022-07-01,RUNFAST GO,3000019276,Non Bulk Transport & Rental,19.8,19.2,0.5,3,-2.4,-4,-0.3
2022-07-01,RUNFAST GO,3000000758,Non Bulk Transport & Rental,16,17,-1,2.3,-3.3,-5.4,2
2022-07-01,RUNFAST GO,3000014429,Non Bulk Transport & Rental,295.7,282.5,13.1,43.9,-30.7,-52.2,-3.5
2022-07-01,RUNFAST GO,3000004898,Non Bulk Transport & Rental,544,580.8,-36.8,79.6,-116.4,-174.5,-19.2
2022-07-01,RUNFAST GO,3000018615,Non Bulk Transport & Rental,227.8,254.6,-26.8,28.9,-55.5,-51.4,-52.6
2022-07-01,RUNFAST GO,3000006126,Non Bulk Transport & Rental,83.7,75.2,8.5,12.6,-4.1,-17.7,6.2
2022-07-01,RUNFAST GO,3000005135,Non Bulk Transport & Rental,74.1,54.6,19.5,11.1,8.4,3.4,11.4
2022-07-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,67.4,68.7,-1.3,8.2,-9.5,-18.4,-6.4
2022-07-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,29.9,27.2,2.7,4.3,-1.7,-2.3,4.6
2022-07-01,RUNFAST GO,3000017758,Non Bulk Transport & Rental,227.7,217.4,10.4,18.3,-8,-4.4,-3.3
2022-07-01,RUNFAST GO,3000018742,Non Bulk Transport & Rental,458.7,326.7,132,68,64,28.1,102.9
2022-07-01,RUNFAST GO,3000018166,Non Bulk Transport & Rental,65.1,65,0.1,9.8,-9.6,-16.3,7.6
2022-07-01,RUNFAST GO,3000002542,Non Bulk Transport & Rental,60.5,63.5,-3,9.6,-12.6,-16.2,-7.4
2022-07-01,RUNFAST GO,3000020314,Non Bulk Transport & Rental,71,58.7,12.4,10.6,1.7,-1.4,3.9
2022-07-01,RUNFAST GO,3000013813,Non Bulk Transport & Rental,13.8,14.7,-0.9,2.1,-3,-4.9,1
2022-07-01,RUNFAST GO,3000021825,Non Bulk Transport & Rental,3.9,3.7,0.2,0.6,-0.4,-1.2,0.8
2022-07-01,RUNFAST GO,3000020093,Non Bulk Transport & Rental,0.5,0.4,0.1,0.1,0,0,0
2022-07-01,RUNFAST GO,3000003715,Non Bulk Transport & Rental,14.7,16.1,-1.4,2,-3.5,-3.5,-2.7
2022-07-01,RUNFAST GO,3000007662,Non Bulk Transport & Rental,117.2,91.2,26,17.6,8.4,3.9,10.9
2022-05-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1625.5,1371.6,253.9,182.4,71.6,71.7,98.8
2022-05-01,RUNFAST GO,3000004898,Non Bulk Transport & Rental,297.2,344.2,-47,54,-101,-136.3,-32.9
2022-05-01,RUNFAST GO,3000007550,Non Bulk Transport & Rental,885.7,641.3,244.2,135.5,108.8,74.4,192.7
2022-05-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,201.1,166,35.1,36.7,-1.6,-30.5,32.4
2022-05-01,RUNFAST GO,3000014429,Non Bulk Transport & Rental,123.7,126.7,-2.9,22.6,-25.6,-41,-3.2
2022-05-01,RUNFAST GO,3000019276,Non Bulk Transport & Rental,15.9,13.2,2.6,2.9,-0.3,-1.9,1.9
2022-05-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,649,550,99.1,102.6,-3.5,-26.5,16.3
2022-05-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,431.3,432.3,-1,62.4,-63.4,-81.6,-54.8
2022-05-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,220.8,231.1,-10.3,36.3,-46.6,-70.7,-15.1
2022-05-01,RUNFAST GO,3000004834,Non Bulk Transport & Rental,15.2,11.2,4.1,2.8,1.3,-0.6,1.8
2022-05-01,RUNFAST GO,3000004465,Non Bulk Transport & Rental,99.8,83.2,16.6,18.1,-1.5,-8.9,7.2
2022-05-01,RUNFAST GO,3000002443,Non Bulk Transport & Rental,80.3,73.3,7,14.7,-7.7,-11.5,0.2
2022-05-01,RUNFAST GO,3000022017,Non Bulk Transport & Rental,91.3,91,0.3,16.6,-16.3,-30.8,6.2
2022-05-01,RUNFAST GO,3000012147,Non Bulk Transport & Rental,2.6,2.5,0.2,0.5,-0.3,-0.4,-0.2
2022-05-01,RUNFAST GO,3000018166,Non Bulk Transport & Rental,46.2,51.4,-5.2,8.4,-13.6,-21.2,2.6
2022-05-01,RUNFAST GO,3000005194,Non Bulk Transport & Rental,197.8,212.3,-14.5,35.5,-50,-80.6,-16.6
2022-05-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,18.4,16.2,2.2,3.3,-1.1,-0.9,4.5
2022-05-01,RUNFAST GO,3000015457,Non Bulk Transport & Rental,39,39.8,-0.8,7.1,-7.9,-12.3,-1.3
2022-05-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,74.1,67.8,6.2,13.4,-7.2,-17.8,4.9
2022-05-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,76.6,52.1,24.4,12.5,11.8,-3,21.6
2022-05-01,RUNFAST GO,3000002046,Non Bulk Transport & Rental,5.6,4.4,1.2,1,0.2,-0.5,1.1
2022-05-01,RUNFAST GO,3000021761,Non Bulk Transport & Rental,465.6,433.9,31.7,83.7,-52,-85.4,-31.2
2022-05-01,RUNFAST GO,3000020764,Non Bulk Transport & Rental,52.7,47.4,5.2,5.3,-0.1,-3.2,4.7
2022-05-01,RUNFAST GO,3000021173,Non Bulk Transport & Rental,30.6,30.3,0.3,5.6,-5.3,-7.8,1.7
2022-05-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,306.1,276.7,29.4,55.1,-25.8,-37.7,-17.8
2022-05-01,RUNFAST GO,3000018742,Non Bulk Transport & Rental,261.5,218.7,42.8,47.7,-4.9,-37.3,31.8
2022-05-01,RUNFAST GO,3000020314,Non Bulk Transport & Rental,66.3,58.2,8.1,12,-3.9,-7.4,1.5
2022-05-01,RUNFAST GO,3000021807,Non Bulk Transport & Rental,15.2,11.4,3.8,2.7,1,0.2,1.6
2022-05-01,RUNFAST GO,3000020650,Non Bulk Transport & Rental,24.2,22.3,1.9,3.7,-1.8,-10.6,3.9
2022-05-01,RUNFAST GO,3000002542,Non Bulk Transport & Rental,41,34.7,6.3,7.5,-1.2,-2.7,-0.2
2022-05-01,RUNFAST GO,3000003715,Non Bulk Transport & Rental,6,5.9,0.1,1.1,-1,-1.5,0.1
2022-05-01,RUNFAST GO,3000020798,Non Bulk Transport & Rental,0.8,0.5,0.2,0.1,0.1,0,0.1
2022-05-01,RUNFAST GO,3000005135,Non Bulk Transport & Rental,71.7,54.6,17.1,13.1,4.1,-0.2,5.8
2022-05-01,RUNFAST GO,3000006126,Non Bulk Transport & Rental,60.2,43.4,16.8,11,5.8,-5.7,14.3
2022-05-01,RUNFAST GO,3000019518,Non Bulk Transport & Rental,45.8,42.2,3.5,6.3,-2.7,-6.6,2.4
2022-05-01,RUNFAST GO,3000020093,Non Bulk Transport & Rental,0.5,0.5,0,0.1,0,-0.1,0
2022-05-01,RUNFAST GO,3000020184,Non Bulk Transport & Rental,20.6,20.1,0.5,3.8,-3.2,-4.5,-0.7
2022-05-01,RUNFAST GO,3000018032,Non Bulk Transport & Rental,34.7,33,1.7,6.3,-4.6,-9.6,3.9
2022-05-01,RUNFAST GO,3000013813,Non Bulk Transport & Rental,29.5,36.2,-6.7,5.4,-12.1,-15.4,-6.8
2022-05-01,RUNFAST GO,3000002698,Non Bulk Transport & Rental,1,0.6,0.4,0.2,0.2,0.1,0.2
2022-05-01,RUNFAST GO,3000007662,Non Bulk Transport & Rental,78.1,61.3,16.8,14.3,2.5,-1.2,4.4
2022-05-01,RUNFAST GO,3000006580,Non Bulk Transport & Rental,21,16.1,4.9,3.8,1.1,0.5,1.6
2022-06-01,RUNFAST GO,3000021761,Non Bulk Transport & Rental,662.8,552.3,110.6,92.2,18.4,-6,39.6
2022-06-01,RUNFAST GO,3000021173,Non Bulk Transport & Rental,99.1,93.1,6,14.1,-8,-12.7,0
2022-06-01,RUNFAST GO,3000007550,Non Bulk Transport & Rental,866.9,640.7,226.3,103.3,122.7,113.9,199.5
2022-06-01,RUNFAST GO,3000020093,Non Bulk Transport & Rental,0.1,0,0,0,0,0,0
2022-06-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,249.4,216.7,32.7,31.5,1.2,-6.4,14
2022-06-01,RUNFAST GO,3000004834,Non Bulk Transport & Rental,29.6,23.2,6.4,4.2,2.2,0.9,3.9
2022-06-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,278.6,194,84.7,39.6,45,19,79.2
2022-06-01,RUNFAST GO,3000019276,Non Bulk Transport & Rental,24.9,22.8,2.1,3.5,-1.4,-4.6,3.1
2022-06-01,RUNFAST GO,3000014429,Non Bulk Transport & Rental,191,175.3,15.7,26.9,-11.2,-23.1,6.7
2022-06-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,463.4,454.2,9.2,56.1,-46.9,-35.3,-35.5
2022-06-01,RUNFAST GO,3000018166,Non Bulk Transport & Rental,93.2,85.2,8,13.2,-5.2,-15.5,11.8
2022-06-01,RUNFAST GO,3000022017,Non Bulk Transport & Rental,177.9,173.3,4.6,25.2,-20.6,-35.3,4
2022-06-01,RUNFAST GO,3000002046,Non Bulk Transport & Rental,0.1,0,0.1,0,0.1,0,0.1
2022-06-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,898.7,745.5,153.3,109.8,43.4,27.6,68.2
2022-06-01,RUNFAST GO,3000005194,Non Bulk Transport & Rental,317.8,323.9,-6,45,-51.1,-76.6,-18.7
2022-06-01,RUNFAST GO,3000005135,Non Bulk Transport & Rental,14.4,9.1,5.3,2.1,3.3,2,3.5
2022-06-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,43.5,40.5,3,6.3,-3.3,-10.5,2.7
2022-06-01,RUNFAST GO,3000017758,Non Bulk Transport & Rental,298.9,282.6,16.3,41,-24.7,-21.2,-16.1
2022-06-01,RUNFAST GO,3000002443,Non Bulk Transport & Rental,110.7,102.3,8.4,15.7,-7.3,-12.2,0.5
2022-06-01,RUNFAST GO,3000020764,Non Bulk Transport & Rental,56.8,55.6,1.2,7.5,-6.1,-8.5,-0.6
2022-06-01,RUNFAST GO,3000022499,Non Bulk Transport & Rental,2.5,2.5,0,0.4,-0.3,-0.7,0.2
2022-06-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,368.4,317,51.4,51,0.3,-8.3,6.9
2022-06-01,RUNFAST GO,3000015457,Non Bulk Transport & Rental,20.9,19.7,1.2,3,-1.8,-4.3,2
2022-06-01,RUNFAST GO,3000004898,Non Bulk Transport & Rental,536,541.5,-5.5,75.7,-81.2,-128,-8.8
2022-06-01,RUNFAST GO,3000002542,Non Bulk Transport & Rental,97.6,90,7.6,13.8,-6.2,-9.6,-2.5
2022-06-01,RUNFAST GO,3000018742,Non Bulk Transport & Rental,398.5,294.7,103.8,56.2,47.5,17.4,84.4
2022-06-01,RUNFAST GO,3000021807,Non Bulk Transport & Rental,45.1,36.9,8.2,6.4,1.8,-0.2,4.1
2022-06-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1420.2,1307.8,112.5,165.7,-53.3,-30.6,-36.9
2022-06-01,RUNFAST GO,3000004465,Non Bulk Transport & Rental,146,118.3,27.7,20.5,7.2,2,16
2022-06-01,RUNFAST GO,3000020314,Non Bulk Transport & Rental,85.9,75.2,10.7,12.1,-1.4,-3.9,2
2022-06-01,RUNFAST GO,3000020798,Non Bulk Transport & Rental,0.8,0.4,0.4,0.1,0.3,0.2,0.3
2022-06-01,RUNFAST GO,3000000758,Non Bulk Transport & Rental,49.2,47.8,1.4,6.8,-5.4,-11.7,4.6
2022-06-01,RUNFAST GO,3000019518,Non Bulk Transport & Rental,73.5,64.1,9.3,9.5,-0.3,-2.3,3.2
2022-06-01,RUNFAST GO,3000006126,Non Bulk Transport & Rental,76,56.4,19.6,10.7,8.9,1.1,16.9
2022-06-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,51.9,43.7,8.2,7.3,0.8,-3.9,6.6
2022-06-01,RUNFAST GO,3000013813,Non Bulk Transport & Rental,44,49.8,-5.8,6.2,-12,-17.1,-4.1
2022-06-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,27.1,20.5,6.6,3.8,2.8,1.7,9.5
2022-06-01,RUNFAST GO,3000018615,Non Bulk Transport & Rental,129.6,141.3,-11.6,15.8,-27.4,-29.8,-18.4
2022-06-01,RUNFAST GO,3000021825,Non Bulk Transport & Rental,9.4,6.9,2.5,1.3,1.2,0.9,1.3
2022-06-01,RUNFAST GO,3000020184,Non Bulk Transport & Rental,18,19.9,-1.9,2.5,-4.5,-7.2,-0.1
2022-06-01,RUNFAST GO,3000018347,Non Bulk Transport & Rental,2.4,1.8,0.5,0.3,0.2,0.1,0.8
2022-06-01,RUNFAST GO,3000003715,Non Bulk Transport & Rental,6,6.1,-0.1,0.8,-0.9,-1.3,-0.2
2022-06-01,RUNFAST GO,3000012147,Non Bulk Transport & Rental,1.9,1.6,0.3,0.3,0,-0.1,0
2022-06-01,RUNFAST GO,3000018032,Non Bulk Transport & Rental,5.5,6.4,-0.9,0.8,-1.7,-2.6,0.1
2022-06-01,RUNFAST GO,3000022592,Non Bulk Transport & Rental,24.6,26.5,-1.9,3.5,-5.3,-7,-3.5
2022-03-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1346.8,1268.5,78.4,154.4,-76,-116.8,-51.7
2022-04-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1146.5,1194.5,-48,144.7,-192.7,-186.3,-179.6
2022-04-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,277.5,170.6,106.9,39.5,67.3,40.4,100.7
2022-04-01,RUNFAST GO,3000014429,Non Bulk Transport & Rental,118.2,117,1.2,17.7,-16.5,-23.8,-10.9
2022-04-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,1010.3,1022.6,-12.3,138.7,-151,-156.4,-104.6
2022-04-01,RUNFAST GO,3000006126,Non Bulk Transport & Rental,104,94.7,9.4,14.8,-5.4,-22.9,7.3
2022-04-01,RUNFAST GO,3000018347,Non Bulk Transport & Rental,22.2,24.4,-2.2,3.8,-6,-8.3,-4.1
2022-04-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,316.4,320,-3.7,44.5,-48,-57.2,-34.8
2022-04-01,RUNFAST GO,3000020184,Non Bulk Transport & Rental,17.2,16.5,0.7,2.5,-1.8,-4.7,1.4
2022-04-01,RUNFAST GO,3000004898,Non Bulk Transport & Rental,356.9,361.9,-5,50.8,-55.8,-114.2,7.4
2022-04-01,RUNFAST GO,3000007662,Non Bulk Transport & Rental,100.7,74.1,26.6,14.3,12.3,9.6,13.9
2022-04-01,RUNFAST GO,3000007550,Non Bulk Transport & Rental,1004.5,704.7,299.8,134.8,165,153.2,253.6
2022-04-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,981.2,805.8,175.4,133.8,41.7,30.6,66.8
2022-04-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,236.9,137.2,99.7,32.4,67.3,46.2,84.4
2022-04-01,RUNFAST GO,3000021173,Non Bulk Transport & Rental,74.5,58.4,16.1,10.6,5.5,0.6,13.3
2022-04-01,RUNFAST GO,3000012147,Non Bulk Transport & Rental,2,1.8,0.2,0.3,-0.1,-0.2,-0.1
2022-04-01,RUNFAST GO,3000015457,Non Bulk Transport & Rental,19.4,19.4,0,2.8,-2.8,-3.7,-1.7
2022-04-01,RUNFAST GO,3000002443,Non Bulk Transport & Rental,109.6,105.2,4.5,15.6,-11.1,-16.4,-3.6
2022-04-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,139.3,133.1,6.1,19.8,-13.7,-29.1,0
2022-04-01,RUNFAST GO,3000021761,Non Bulk Transport & Rental,579.2,497.8,81.4,82.2,-0.8,-20.4,10.8
2022-04-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,70.2,102.3,-32,9.9,-42,-43.6,-34.5
2022-04-01,RUNFAST GO,3000019276,Non Bulk Transport & Rental,2.8,2.1,0.7,0.4,0.3,0.1,0.7
2022-04-01,RUNFAST GO,3000005194,Non Bulk Transport & Rental,348.2,342.7,5.5,49.6,-44.1,-79,-11
2022-04-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,419.5,326.5,93,59.7,33.3,22.6,40.2
2022-04-01,RUNFAST GO,3000018742,Non Bulk Transport & Rental,357.6,270.5,87.1,50.9,36.2,5.6,71.7
2022-04-01,RUNFAST GO,3000020650,Non Bulk Transport & Rental,166.1,69.9,96.3,23.6,72.6,57.9,83.6
2022-04-01,RUNFAST GO,3000002542,Non Bulk Transport & Rental,86.8,65.3,21.5,12.4,9.2,7.3,10.5
2022-04-01,RUNFAST GO,3000018032,Non Bulk Transport & Rental,87.6,88,-0.4,12.5,-12.9,-29,4.3
2022-04-01,RUNFAST GO,3000013813,Non Bulk Transport & Rental,28.4,28.5,0,4.1,-4.1,-8.2,-0.3
2022-04-01,RUNFAST GO,3000021807,Non Bulk Transport & Rental,14.4,9.1,5.3,2,3.2,2.8,3.5
2022-04-01,RUNFAST GO,3000018166,Non Bulk Transport & Rental,85.3,81.5,3.9,12.2,-8.3,-21.2,11.5
2022-04-01,RUNFAST GO,3000004834,Non Bulk Transport & Rental,25.8,19.3,6.5,3.7,2.8,1.7,6.2
